ID,LAT,LON,ALT_ASL,COUNTRY,NAME
AM0001R,40.38444,44.26058,2080.0,AM051ARM,"Amberd"
AR0001R,-64.24006,-56.62478,198.0,AR032ARG,"Marambio"
AR0002G,-54.84846,-68.31069,18.0,AR032ARG,"Ushuaia"
AR0003R,-49.30260,-67.82230,62.0,AR032ARG,"San Julian Aero"
AR0004R,-22.10333,-65.60083,3459.0,AR032ARG,"La Quiaca"
AR0005R,-31.66861,-63.88194,339.0,AR032ARG,"Pilar"
AT0001R,48.08333,17.06667,,AT040AUT,"Kittsee"
AT0002R,47.76667,16.76667,117.0,AT040AUT,"Illmitz"
AT0003R,47.55000,11.71667,960.0,AT040AUT,"Achenkirch"
AT0004R,47.65000,13.20000,851.0,AT040AUT,"St. Koloman"
AT0005R,46.67778,12.97222,1020.0,AT040AUT,"Vorhegg"
AT0030R,48.72111,15.94222,315.0,AT040AUT,"Pillersdorf bei Retz"
AT0032R,47.52917,9.92667,1020.0,AT040AUT,"Sulzberg"
AT0033R,47.12917,14.20389,1302.0,AT040AUT,"Stolzalpe bei Murau"
AT0034G,47.05407,12.95794,3106.0,AT040AUT,"Sonnblick"
AT0037R,47.13694,11.87000,1970.0,AT040AUT,"Zillertaler Alpen"
AT0038R,46.69361,13.91500,1895.0,AT040AUT,"Gerlitzen"
AT0040R,47.34806,15.88222,1170.0,AT040AUT,"Masenberg"
AT0041R,47.97306,13.01611,730.0,AT040AUT,"Haunsberg"
AT0042R,48.87861,15.04667,570.0,AT040AUT,"Heidenreichstein"
AT0043R,48.10611,15.91944,581.0,AT040AUT,"Forsthof"
AT0044R,47.11306,15.47056,651.0,AT040AUT,"Graz Platte"
AT0045R,48.37111,15.54667,320.0,AT040AUT,"Dunkelsteinerwald"
AT0046R,48.33472,16.73056,161.0,AT040AUT,"Gänserndorf"
AT0047R,48.05083,16.67667,240.0,AT040AUT,"Stixneusiedl"
AT0048R,47.83861,14.44139,899.0,AT040AUT,"Zoebelboden"
AT0049R,47.04028,14.33000,1648.0,AT040AUT,"Grebenzen bei St. Lamprecht"
AT0050R,47.06694,15.49361,481.0,AT040AUT,"Graz Lustbuehel"
AU0001C,-23.79509,133.88901,547.0,AU036AUS,"Alice Springs"
AU0002G,-40.68222,144.68834,94.0,AU036AUS,"Cape Grim"
AU0003R,-12.41667,130.88333,31.0,AU036AUS,"Darwin"
AZ0001R,40.90722,49.03889,639.0,AZ031AZE,"Xizi"
BA0006R,43.76667,18.03333,970.0,BA070BIH,"Ivan Sedlo"
BA0009U,43.86800,18.42300,635.0,BA070BIH,"Sarajevo Bjelave"
BA0010U,43.85400,18.39600,545.0,BA070BIH,"Sarajevo Pofalici"
BB0001R,13.17000,-59.43000,45.0,BB052BRB,"Ragged Point"
BE0001R,49.87778,5.20361,430.0,BE056BEL,"Offagne"
BE0002R,,,,BE056BEL,"Oostende"
BE0003R,51.25000,3.20000,10.0,BE056BEL,"Brugge"
BE0004R,51.36000,3.33333,0.0,BE056BEL,"Knokke"
BE0005R,51.05000,3.71667,0.0,BE056BEL,"University of Gent"
BE0006R,50.79790,4.35876,100.0,BE056BEL,"Uccle"
BE0007R,50.30400,6.00127,496.0,BE056BEL,"TMNT09 Vielsalm"
BE0011R,51.25457,3.36254,3.0,BE056BEL,"Moerkerke"
BE0013R,51.01628,2.58232,2.0,BE056BEL,"Houtem"
BE0014R,51.12092,2.65854,4.0,BE056BEL,"Koksijde"
BE0032R,50.62942,6.00102,295.0,BE056BEL,"Eupen"
BE0035R,50.50333,4.98944,160.0,BE056BEL,"Vezin"
BE0090R,51.23333,2.98333,0.0,BE056BEL,"Bredene"
BG0001R,42.16667,23.58333,2971.0,BG100BGR,"BEO Moussala"
BG0053R,41.69583,24.73861,1750.0,BG100BGR,"Rojen peak"
BM0001R,32.27000,-64.88000,30.0,BM060BMU,"Tudor Hill (Bermuda)"
BO0001R,-16.20000,-68.10000,5320.0,BO068BOL,"Mount Chacaltaya"
BR0001R,-3.21297,-60.59810,50.0,BR076BRA,"Manacapuru (ARM)"
BR0100C,-2.59500,-60.20900,45.0,BR076BRA,"Manaus"
BY0001R,54.73000,28.35000,174.0,BY112BLR,"Berezinsky Reserve"
BY0004R,52.33333,23.43333,163.0,BY112BLR,"Vysokoe"
CA0001R,60.30000,-134.26667,0.0,CA124CAN,"Tagish"
CA0002R,51.66667,-110.20000,707.0,CA124CAN,"Esther"
CA0003R,48.78333,-123.13333,178.0,CA124CAN,"Saturna"
CA0004R,46.50000,-65.26667,37.0,CA124CAN,"Harcourt B"
CA0005R,45.59306,-63.84167,90.0,CA124CAN,"Jackson"
CA0006R,44.43361,-65.20583,127.0,CA124CAN,"Kejimkujik"
CA0007R,63.51667,-116.00000,240.0,CA124CAN,"Snare Rapids"
CA0008R,47.03500,-84.38111,411.0,CA124CAN,"Algoma"
CA0009R,49.38639,-82.12139,245.0,CA124CAN,"Bonner Lake"
CA0010R,46.06278,-77.40472,184.0,CA124CAN,"Chalk River"
CA0011R,44.23101,-79.78384,255.0,CA124CAN,"Egbert"
CA0012R,49.66389,-93.72111,369.0,CA124CAN,"Experimental Lakes Area"
CA0013R,42.88472,-81.48056,239.0,CA124CAN,"Longwoods"
CA0014R,51.45000,-90.22000,370.0,CA124CAN,"Pickle Lake B"
CA0015R,45.42361,-79.48583,350.0,CA124CAN,"Sprucedale"
CA0016R,44.46389,-78.13056,230.0,CA124CAN,"Warsaw Caves"
CA0017R,49.82222,-74.97639,381.0,CA124CAN,"Chapais"
CA0018R,45.05028,-72.86167,203.0,CA124CAN,"Frelighsburg"
CA0019R,47.68167,-72.44278,243.0,CA124CAN,"Lac Edouard"
CA0020R,53.75722,-73.67500,300.0,CA124CAN,"LG4"
CA0021R,50.26667,-64.21667,14.0,CA124CAN,"Mingan"
CA0022R,45.07639,-72.67639,243.0,CA124CAN,"Sutton"
CA0023R,50.20278,-104.20417,600.0,CA124CAN,"Bratts Lake"
CA0024R,45.95528,-66.47694,155.0,CA124CAN,"Canterbury"
CA0025R,45.92444,-65.81083,100.0,CA124CAN,"Coles Island"
CA0026R,45.59778,-64.94917,55.0,CA124CAN,"Fundy NP"
CA0027R,46.53806,-66.46250,183.0,CA124CAN,"Holtville"
CA0028R,45.31278,-65.97361,82.0,CA124CAN,"Lakewood Heights"
CA0029R,47.23417,-67.32000,172.0,CA124CAN,"Nictau"
CA0030R,45.12972,-66.65750,65.0,CA124CAN,"Pennfield"
CA0031R,47.69917,-65.05194,40.0,CA124CAN,"PetitPaquetville"
CA0032R,47.70833,-65.80750,60.0,CA124CAN,"Robertville"
CA0033R,45.44639,-66.64917,130.0,CA124CAN,"South Oromocto"
CA0034R,47.95000,-66.46250,122.0,CA124CAN,"St. Maure"
CA0035R,47.11861,-66.46250,160.0,CA124CAN,"Trout Brook"
CA0036R,47.38333,-78.70000,322.0,CA124CAN,"Belleterre"
CA0037R,46.45000,-72.90000,116.0,CA124CAN,"Charette"
CA0038R,49.01667,-66.40000,229.0,CA124CAN,"Cape-Seize"
CA0039R,48.85000,-69.10000,168.0,CA124CAN,"Route-385"
CA0040R,47.05000,-72.93333,119.0,CA124CAN,"Grande-Anse"
CA0041R,45.06667,-73.71667,61.0,CA124CAN,"Hemmingford Wind"
CA0042R,45.81667,-70.85000,511.0,CA124CAN,"Hilaire"
CA0043R,47.65000,-72.28333,366.0,CA124CAN,"Edouard"
CA0044R,48.81667,-72.73333,260.0,CA124CAN,"Pemonca"
CA0045R,48.61667,-77.61667,297.0,CA124CAN,"La Morandiere"
CA0046R,45.61667,-76.01667,206.0,CA124CAN,"La Peche"
CA0047R,49.05000,-76.96667,304.0,CA124CAN,"Lv.sur-Quevillon"
CA0048R,47.69028,-79.05000,267.0,CA124CAN,"Latulipe"
CA0049R,48.41667,-78.73333,305.0,CA124CAN,"Mont-Brun"
CA0050R,45.68333,-74.98333,197.0,CA124CAN,"Monteb.-Sedbergh"
CA0051R,46.41667,-74.78333,244.0,CA124CAN,"La Macaza"
CA0052R,46.76667,-75.43333,260.0,CA124CAN,"Mont-St.Michel"
CA0053R,47.31667,-71.15000,640.0,CA124CAN,"Montmorency"
CA0054R,47.61667,-68.80000,320.0,CA124CAN,"Notre-Dame-Lac"
CA0055R,47.91667,-74.61667,410.0,CA124CAN,"Parent-S"
CA0056R,46.20000,-77.70000,137.0,CA124CAN,"Rp.-des-Joachims"
CA0057R,47.75000,-79.25000,290.0,CA124CAN,"Remigny"
CA0058R,48.25000,-70.40000,290.0,CA124CAN,"Cap-Eternite"
CA0059R,46.85000,-70.45000,419.0,CA124CAN,"Notre-Dame-Ros"
CA0060R,46.48333,-71.56667,137.0,CA124CAN,"Saint-Flavien"
CA0061R,45.98333,-74.00000,366.0,CA124CAN,"Saint-Hippolyte"
CA0062R,45.71667,-72.83333,55.0,CA124CAN,"Saint-Simon"
CA0063R,46.53333,-72.43333,46.0,CA124CAN,"Saint-Narcisse"
CA0064R,45.36667,-72.26667,358.0,CA124CAN,"Stukely"
CA0065R,45.90000,-71.95000,294.0,CA124CAN,"Tingwick"
CA0066R,51.08333,-114.11667,1112.0,CA124CAN,"Calgary"
CA0067R,54.45000,-110.13333,541.0,CA124CAN,"Cold Lake"
CA0068R,52.06667,-111.45000,792.0,CA124CAN,"Coronation"
CA0069R,58.77667,-111.01806,213.0,CA124CAN,"Fort Chipewyan"
CA0070R,56.66667,-111.30000,375.0,CA124CAN,"Fort McMurray B"
CA0071R,58.38333,-116.05000,279.0,CA124CAN,"Fort Vermillion"
CA0072R,55.53333,-116.51667,586.0,CA124CAN,"High Prairie"
CA0073R,51.03333,-115.03333,1390.0,CA124CAN,"Kananaskis"
CA0074R,52.18333,-113.88333,905.0,CA124CAN,"Red Deer"
CA0075R,50.28333,-111.03333,762.0,CA124CAN,"Suffield"
CA0076R,49.32167,-57.39361,168.0,CA124CAN,"Cormack"
CA0077R,47.62889,-57.46500,10.0,CA124CAN,"Burgeo"
CA0078R,49.02500,-55.55000,150.0,CA124CAN,"Wooddale"
CA0079R,47.98940,-55.81800,190.0,CA124CAN,"Bay dEspoir B"
CA0080R,53.29030,-60.38800,39.0,CA124CAN,"Goose Bay B"
CA0081R,45.81670,-82.95000,185.0,CA124CAN,"Burnt Island"
CA0083R,46.67110,-79.91670,0.0,CA124CAN,"Marten River"
CA0084R,44.63860,-76.37000,133.0,CA124CAN,"Westport"
CA0085R,57.61670,-111.21000,0.0,CA124CAN,"Fort McKay"
CA0086R,55.20000,-119.40000,754.0,CA124CAN,"Beaverlodge"
CA0087R,48.16810,-58.86000,55.0,CA124CAN,"Loch Leven"
CA0088R,47.26640,-53.27400,131.0,CA124CAN,"Salmonier NP"
CA0089R,48.48780,-54.24600,99.0,CA124CAN,"Terra Nova B"
CA0090R,53.30600,-60.36300,39.0,CA124CAN,"Goose Bay"
CA0091R,52.78330,-67.08300,594.0,CA124CAN,"Fermont"
CA0092R,45.36670,-71.25000,480.0,CA124CAN,"Ditton"
CA0093R,46.83330,-71.61700,130.0,CA124CAN,"Catherine"
CA0094R,48.30000,-68.11700,411.0,CA124CAN,"Cote-Ouimet"
CA0095R,45.15970,-61.97100,,CA124CAN,"Sherbrooke"
CA0096R,44.33170,-80.90900,345.0,CA124CAN,"Kinghurst Forest Reserve"
CA0097R,58.35930,-109.60000,339.0,CA124CAN,"Cluff Lake"
CA0098R,43.75000,-66.12000,5.0,CA124CAN,"Chebogue Point"
CA0100R,50.05930,-122.95760,2182.0,CA124CAN,"Whistler Mountain"
CA0101R,43.93300,-60.01700,4.0,CA124CAN,"Sable Island"
CA0102R,54.35374,-104.98686,500.0,CA124CAN,"East Trout Lake"
CA0103R,80.05000,-86.41666,610.0,CA124CAN,"Eureka"
CA0104R,49.84000,-81.51667,210.0,CA124CAN,"Fraserdale"
CA0105U,43.78049,-79.46801,184.0,CA124CAN,"Downsview"
CA0106U,43.78333,-79.46667,198.0,CA124CAN,"Toronto"
CA0107R,51.02900,-115.03360,1391.0,CA124CAN,"Barrier Lake"
CA0300A,23.39000,-113.30000,,CA124CAN,"CAN-FRA"
CA0301A,23.39000,-113.30000,,CA124CAN,"CAN-MNL"
CA0302A,43.68000,-79.63000,,CA124CAN,"YYZ-FRA"
CA0303A,49.19390,-123.18300,,CA124CAN,"YVR-FRA"
CA0420G,82.49915,-62.34153,210.0,CA124CAN,"Alert"
CH0001G,46.54750,7.98500,3578.0,CH756CHE,"Jungfraujoch"
CH0002R,46.81306,6.94472,489.0,CH756CHE,"Payerne"
CH0003R,47.47972,8.90472,539.0,CH756CHE,"Tänikon"
CH0004R,47.04972,6.97944,1137.0,CH756CHE,"Chaumont"
CH0005R,47.06750,8.46389,1031.0,CH756CHE,"Rigi"
CH0006C,46.81667,9.85000,1590.0,CH756CHE,"Davos"
CH0007C,46.88000,7.46000,907.0,CH756CHE,"Zimmerwald"
CH0010U,47.37759,8.53042,409.0,CH756CHE,"Zürich-Kaserne"
CH0013R,47.36667,7.35000,,CH756CHE,"Delemont"
CH0014R,47.13333,7.61667,,CH756CHE,"Oeschberg"
CH0015R,47.13333,8.75000,,CH756CHE,"Einsiedeln"
CH0016R,46.16667,8.88333,,CH756CHE,"Magadino"
CH0031R,46.22028,7.34194,483.0,CH756CHE,"Sion"
CH0033R,46.16028,8.93389,203.0,CH756CHE,"Magadino-Cadenazzo"
CH0053R,47.18961,8.17543,797.0,CH756CHE,"Beromünster"
CI0001R,6.21667,-5.03333,105.0,CI384CIV,"Lamto"
CL0001R,-30.17254,-70.79923,2220.0,CL152CHL,"El Tololo"
CM0001R,3.16667,11.96667,690.0,CM120CMR,"Zoetele"
CN0001B,29.63333,104.68333,450.0,CN156CHN,"Tie Shan Ping"
CN0002R,26.36667,108.18333,1630.0,CN156CHN,"Lei Gong Shan"
CN0003R,27.91667,112.43333,450.0,CN156CHN,"Cai Jia Tang"
CN0004B,23.55000,113.58333,500.0,CN156CHN,"Liu Xi He"
CN0005R,26.63333,106.71667,1320.0,CN156CHN,"Liu Chong Guan"
CN0009B,39.99000,116.30500,,CN156CHN,"Peking University"
CN0010U,29.61700,106.50000,317.0,CN156CHN,"Haifu"
CN0011R,32.55840,116.78200,23.0,CN156CHN,"Shouxian (ARM)"
CN0100R,30.30000,119.73000,138.0,CN156CHN,"Linan"
CN0101G,36.28300,100.90000,3810.0,CN156CHN,"Mt. Waliguan"
CN0102U,39.00000,117.00000,,CN156CHN,"Wuqing-Tianjin"
CN0103U,40.00000,116.00000,,CN156CHN,"Changping-Beijing"
CN0104R,40.65000,117.11700,287.0,CN156CHN,"Shangdianzi"
CN1001U,29.56667,106.51667,262.0,CN156CHN,"Chongqing-Guanyinqiao"
CN1003R,29.81667,106.36667,800.0,CN156CHN,"Chongqing-Jinyunshan"
CN1004U,34.23333,108.95000,400.0,CN156CHN,"Xian-Shizhan"
CN1005R,34.36667,108.85000,366.0,CN156CHN,"Xian-Weishuiyuan"
CN1007R,33.83333,108.80000,1800.0,CN156CHN,"Xian-Jiwozi"
CN1008U,24.46667,118.13333,50.0,CN156CHN,"Xiamen-Hongwen"
CN1009R,24.85000,118.03333,686.0,CN156CHN,"Xiamen-Xiaopin"
CN1010U,22.26667,113.56667,40.0,CN156CHN,"Zhuhai-Xiang Zhou"
CN1011U,22.20000,113.51667,45.0,CN156CHN,"Zhuhai-Zhuxiandong (Zhuxian Cavern)"
CO0101A,4.70000,-74.14000,,CO178COL,"BOG-FRA"
CV0001G,16.86403,-24.86752,10.0,CV238CPV,"Cape Verde Atmospheric Observatory"
CY0002R,35.03810,33.05780,520.0,CY196CYP,"Agia Marina Xyliatou / Cyprus Atmospheric Observatory"
CY0003R,35.07000,32.89000,362.0,CY196CYP,"St. Elias, Troodos mountains"
CY0004U,35.12694,33.33167,199.0,CY196CYP,"NICRES"
CZ0001R,49.73508,16.03420,735.0,CZ203CZE,"Svratouch"
CZ0003R,49.57339,15.08028,535.0,CZ203CZE,"Kosetice (NOAK)"
CZ0004B,50.12639,14.38465,270.0,CZ203CZE,"Prague-Suchdol"
CZ0005R,49.06667,13.60000,1118.0,CZ203CZE,"Churanov"
CZ0006B,50.66109,14.04029,147.0,CZ203CZE,"Ústí n.L.-mesto"
CZ0008U,50.58577,13.67342,265.0,CZ203CZE,"Lom"
CZ0099R,50.15000,15.06667,,CZ203CZE,"Libus"
DE0001R,54.92556,8.30972,12.0,DE276DEU,"Westerland"
DE0002R,52.80222,10.75944,74.0,DE276DEU,"Waldhof"
DE0003R,47.91472,7.90861,1205.0,DE276DEU,"Schauinsland"
DE0004R,49.76472,7.05194,480.0,DE276DEU,"Deuselbach"
DE0005R,48.81944,13.21917,1016.0,DE276DEU,"Brotjacklriegel"
DE0006R,54.68333,13.43333,42.0,DE276DEU,"Arkona"
DE0007R,53.16667,13.03333,62.0,DE276DEU,"Neuglobsow"
DE0008R,50.65000,10.76667,937.0,DE276DEU,"Schmücke"
DE0009R,54.43680,12.72490,1.0,DE276DEU,"Zingst"
DE0011R,54.10000,9.66667,75.0,DE276DEU,"Hohenwestedt"
DE0012R,52.85000,8.70000,52.0,DE276DEU,"Bassum"
DE0013R,52.31667,9.36667,148.0,DE276DEU,"Rodenberg"
DE0014R,51.11667,7.63333,510.0,DE276DEU,"Meinerzhagen"
DE0015R,50.33333,8.53333,485.0,DE276DEU,"Usingen"
DE0016R,49.83333,7.86667,230.0,DE276DEU,"Bad Kreuznach"
DE0017R,49.25000,10.58333,481.0,DE276DEU,"Ansbach"
DE0018R,48.48333,8.93333,427.0,DE276DEU,"Rottenburg"
DE0019R,48.01667,11.35000,729.0,DE276DEU,"Starnberg"
DE0020R,50.31667,11.88333,568.0,DE276DEU,"Hof"
DE0026R,53.75000,14.06667,1.0,DE276DEU,"Ueckermünde"
DE0031R,52.11667,12.46667,107.0,DE276DEU,"Wiesenburg"
DE0032R,52.05000,7.66667,43.0,DE276DEU,"Gitturp"
DE0033R,51.03333,10.15000,380.0,DE276DEU,"Herleshausen"
DE0034R,50.03000,12.06667,595.0,DE276DEU,"Regnitzlosau"
DE0035R,50.83333,14.76667,490.0,DE276DEU,"Lückendorf"
DE0036R,53.75000,14.06667,1.0,DE276DEU,"Ückermünde"
DE0037R,50.56667,11.81667,500.0,DE276DEU,"Schleiz"
DE0038R,47.65139,11.20333,622.0,DE276DEU,"Murnauer Moos"
DE0039R,54.07472,9.79278,15.0,DE276DEU,"Aukrug"
DE0042R,49.24333,9.44722,283.0,DE276DEU,"Öhringen"
DE0043G,47.80150,11.00962,985.0,DE276DEU,"Hohenpeissenberg"
DE0044R,51.53014,12.93386,86.0,DE276DEU,"Melpitz"
DE0045R,52.96667,13.65000,70.0,DE276DEU,"Schorfheide"
DE0046R,47.90000,11.10000,552.0,DE276DEU,"Raisting"
DE0047R,52.16667,14.11667,73.0,DE276DEU,"Falkenberg"
DE0051R,,,,DE276DEU,"Boltenhagen"
DE0052R,,,,DE276DEU,"Kiel Bight"
DE0053R,,,,DE276DEU,"Dänisch-Nienhof"
DE0054R,47.41650,10.97964,2671.0,DE276DEU,"Zugspitze-Schneefernerhaus"
DE0055B,51.35250,12.43460,113.0,DE276DEU,"Leipzig"
DE0056R,52.99806,7.94250,40.0,DE276DEU,"Bösel"
DE0057G,47.42108,10.98590,2962.0,DE276DEU,"Zugspitze-Gipfel"
DE0058R,52.20870,14.12160,112.0,DE276DEU,"Lindenberg"
DE0059C,52.35000,13.06667,89.0,DE276DEU,"Potsdam"
DE0060G,-70.66600,-8.26600,42.0,DE276DEU,"Neumayer"
DE0061B,50.57167,12.99889,545.0,DE276DEU,"Annaberg-Buchholz"
DE0062B,48.35806,10.90694,485.0,DE276DEU,"Augsburg"
DE0063K,51.06500,13.74139,116.0,DE276DEU,"Dresden-Nord"
DE0064B,51.03611,13.73056,120.0,DE276DEU,"Dresden-Winckelmannstrasse"
DE0065B,50.00500,8.65139,130.0,DE276DEU,"Langen"
DE0066K,51.34583,12.40639,120.0,DE276DEU,"Leipzig-Eisenbahnstrasse"
DE0067K,51.34417,12.37722,111.0,DE276DEU,"Leipzig-Mitte"
DE0068B,51.31806,12.29750,122.0,DE276DEU,"Leipzig-West"
DE0069B,51.45346,6.86505,39.0,DE276DEU,"Mülheim-Styrum"
DE0070R,50.60322,13.46558,660.0,DE276DEU,"Deutschneudorf"
DE0071R,48.54010,8.39680,511.0,DE276DEU,"Black Forest (ARM)"
DE0072U,52.48944,13.43086,,DE276DEU,"BLUME Nansenstrasse MC042"
DE0073U,52.54304,13.34933,,DE276DEU,"BLUME Amrumerstrasse MC010"
DE0074K,52.51407,13.46993,,DE276DEU,"BLUME Frankfurter Allee MC174"
DE0101A,50.03000,8.54000,,DE276DEU,"FRA-CAN"
DE0102A,50.03000,8.54000,,DE276DEU,"FRA-YYZ"
DE0103A,50.03000,8.54000,,DE276DEU,"FRA-DEN"
DE0104A,50.03000,8.54000,,DE276DEU,"FRA-MAA"
DE0105A,50.03000,8.54000,,DE276DEU,"FRA-CPT"
DE0106A,50.03000,8.54000,,DE276DEU,"FRA-CCS"
DE0107A,50.03000,8.54000,,DE276DEU,"FRA-IAH"
DE0108A,50.03000,8.54000,,DE276DEU,"FRA-MCO"
DE0109A,50.03000,8.54000,,DE276DEU,"FRA-YVR"
DE0110A,50.03000,8.54000,,DE276DEU,"FRA-KIX"
DE0111A,50.03000,8.54000,,DE276DEU,"FRA-ORD"
DE0112A,50.03000,8.54000,,DE276DEU,"FRA-JNB"
DE0113A,50.03000,8.54000,,DE276DEU,"FRA-BOG"
DE0200R,50.90856,6.41340,108.0,DE276DEU,"Jülich Research Centre"
DE0201R,51.35000,12.43000,117.0,DE276DEU,"Leipzig TROPOS"
DK0001R,62.03000,-7.06667,210.0,DK208DNK,"Færøerne"
DK0002R,57.11667,8.60000,46.0,DK208DNK,"Hanstholm"
DK0003R,56.35000,9.60000,13.0,DK208DNK,"Tange"
DK0004R,56.00000,11.28333,,DK208DNK,"Gniben"
DK0005R,54.74650,10.73616,10.0,DK208DNK,"Keldsnor"
DK0006R,55.00000,15.08333,,DK208DNK,"Dueodde"
DK0007R,61.40000,-6.66667,90.0,DK208DNK,"Færøerne-Akraberg"
DK0008R,56.71667,11.51667,40.0,DK208DNK,"Anholt"
DK0009R,55.34213,11.03551,250.0,DK208DNK,"Storebaelt"
DK0010G,81.60000,-16.67000,20.0,DK208DNK,"Villum Research Station, Station Nord"
DK0011G,64.18000,-51.65000,320.0,DK208DNK,"Nuuk"
DK0012R,55.69359,12.08580,3.0,DK208DNK,"Risoe"
DK0015G,62.01583,-6.76000,35.0,DK208DNK,"Thorshavn, Faroe Islands"
DK0020R,55.01694,14.94583,5.0,DK208DNK,"Pedersker"
DK0021R,,,,DK208DNK,"Almindingen"
DK0022R,56.08311,9.42073,60.0,DK208DNK,"Sepstrup Sande"
DK0025G,72.58000,-38.48000,3238.0,DK208DNK,"Summit"
DK0031R,56.29042,8.42749,10.0,DK208DNK,"Ulborg"
DK0032R,55.96667,12.33333,10.0,DK208DNK,"Frederiksborg"
DK0041R,55.68694,12.12611,10.0,DK208DNK,"Lille Valby"
DK0042R,62.18333,-7.20000,,DK208DNK,"Norduri a Fossum"
DZ0001G,23.26667,5.63333,2710.0,DZ012DZA,"Assekrem"
EE0002R,57.95000,22.10000,2.0,EE233EST,"Syrve"
EE0003R,58.27000,26.47000,70.0,EE233EST,"Toravere"
EE0004U,58.37069,26.73575,40.0,EE233EST,"Tartu"
EE0009R,59.50000,25.90000,32.0,EE233EST,"Lahemaa"
EE0011R,58.38333,21.81667,6.0,EE233EST,"Vilsandi"
EG0001U,30.08083,31.29022,35.0,EG818EGY,"Cairo"
EG0002U,27.28999,33.74989,7.0,EG818EGY,"Hurghada"
EG0003U,31.34274,27.21777,35.0,EG818EGY,"Marsa Matruh"
EG0004R,27.05817,27.99030,92.0,EG818EGY,"Farafra"
ES0001R,39.54694,-4.35056,917.0,ES724ESP,"San Pablo de los Montes"
ES0002R,37.20000,-3.60000,720.0,ES724ESP,"La Cartuja"
ES0003R,40.82056,0.49139,44.0,ES724ESP,"Roquetas"
ES0004R,42.45778,-2.50306,445.0,ES724ESP,"Logroño"
ES0005R,42.72056,-8.92361,683.0,ES724ESP,"Noia"
ES0006R,39.87528,4.31639,78.0,ES724ESP,"Mahón"
ES0007R,37.23722,-3.53417,1230.0,ES724ESP,"Víznar"
ES0008R,43.43917,-4.85000,134.0,ES724ESP,"Niembro"
ES0009R,41.27417,-3.14250,1360.0,ES724ESP,"Campisabalos"
ES0010R,42.31917,3.31583,76.0,ES724ESP,"Cabo de Creus"
ES0011R,38.47278,-6.92361,393.0,ES724ESP,"Barcarrota"
ES0012R,39.08278,-1.10111,885.0,ES724ESP,"Zarra"
ES0013R,41.23889,-5.89750,985.0,ES724ESP,"Penausende"
ES0014R,41.39389,0.73472,470.0,ES724ESP,"Els Torms"
ES0015R,39.51667,-4.35000,1241.0,ES724ESP,"Risco Llamo"
ES0016R,42.63472,-7.70472,506.0,ES724ESP,"O Saviñao"
ES0017R,37.05194,-6.55528,35.0,ES724ESP,"Doñana"
ES0018G,28.30900,-16.49940,2373.0,ES724ESP,"Izana"
ES0019U,41.39000,2.11611,80.0,ES724ESP,"Barcelona"
ES0020U,37.16400,-3.60500,680.0,ES724ESP,"Granada"
ES0021U,40.45644,-3.72563,669.0,ES724ESP,"Madrid"
ES0022R,42.05134,0.72956,1571.0,ES724ESP,"Montsec"
ES0023R,39.83778,3.02361,45.0,ES724ESP,"Can Llompart"
ES0024U,43.33600,-8.35200,,ES724ESP,"IUMA"
ES0100R,37.10000,-6.73333,41.0,ES724ESP,"El Arenosillo"
ES1778R,41.76667,2.35000,700.0,ES724ESP,"Montseny"
FI0001R,60.18333,19.98333,,FI246FIN,"Jomala"
FI0003R,61.56667,28.06667,,FI246FIN,"Puumala"
FI0004R,62.53333,24.22167,162.0,FI246FIN,"Ähtäri"
FI0005R,67.36792,26.63278,179.0,FI246FIN,"Sodankylä"
FI0006R,59.91667,20.91667,10.0,FI246FIN,"Kökar"
FI0007R,60.51667,27.68333,8.0,FI246FIN,"Virolahti"
FI0008R,69.75000,27.00000,80.0,FI246FIN,"Kevo"
FI0009R,59.77917,21.37722,7.0,FI246FIN,"Utö"
FI0017R,60.52667,27.68611,4.0,FI246FIN,"Virolahti II"
FI0018R,60.53002,27.66754,4.0,FI246FIN,"Virolahti III"
FI0022R,66.32028,29.40167,310.0,FI246FIN,"Oulanka"
FI0023R,67.76667,29.58333,400.0,FI246FIN,"Värriö"
FI0036R,68.00000,24.23722,340.0,FI246FIN,"Pallas (Matorova)"
